text,intent
how is the weather today right now,check_weather
please how is the weather today,check_weather
weather today,check_weather
weather today now,check_weather
please weather today,check_weather
will it rain today,check_weather
it will rain today,check_weather
could you will it rain today,check_weather
is it going to rain,check_weather
rain it going to is,check_weather
is it going to rain quickly,check_weather
is it going rain,check_weather
what's the weather like,check_weather
what's the weather like quickly,check_weather
what's the weather like now,check_weather
the weather like,check_weather
tell me the weather,check_weather
me tell the weather,check_weather
tell me weather the,check_weather
how hot is it today,check_weather
how hot is it today now,check_weather
it hot is how today,check_weather
hey how hot is it today,check_weather
weather forecast,check_weather
i want to weather forecast,check_weather
could you weather forecast,check_weather
is it cold outside,check_weather
is it cold,check_weather
outside it cold is,check_weather
is cold outside,check_weather
call my daughter,call_contact
my daughter,call_contact
call daughter,call_contact
call daughter my,call_contact
call my son,call_contact
son my call,call_contact
my call son,call_contact
call son my,call_contact
make a phone call,call_contact
make a phone,call_contact
a phone call,call_contact
make a phone call please,call_contact
call family,call_contact
call family right now,call_contact
i want to call someone,call_contact
please i want to call someone,call_contact
i want to call someone quickly,call_contact
phone my son,call_contact
please phone my son,call_contact
my phone son,call_contact
phone my son please,call_contact
call my wife,call_contact
call my wife now,call_contact
call my wife for me,call_contact
just call my wife,call_contact
dial my daughter,call_contact
my dial daughter,call_contact
dial my daughter now,call_contact
call my brother,call_contact
my brother,call_contact
call my brother right now,call_contact
can you call my brother,call_contact
contact my family,call_contact
my family,call_contact
contact my family quickly,call_contact
hey contact my family,call_contact
help,emergency
help quickly,emergency
emergency,emergency
emergency right now,emergency
just emergency,emergency
i need help,emergency
i help,emergency
i need,emergency
call for help,emergency
can you call for help,emergency
call help,emergency
for help,emergency
this is an emergency,emergency
this is an emergency now,emergency
this an is emergency,emergency
i fell down,emergency
could you i fell down,emergency
i fell down right now,emergency
i fell,emergency
i am not feeling well,emergency
hey i am not feeling well,emergency
i not am feeling well,emergency
i want to i am not feeling well,emergency
please help me,emergency
help me,emergency
please help me quickly,emergency
please help,emergency
send help,emergency
send help right now,emergency
just send help,emergency
could you send help,emergency
i need emergency assistance,emergency
can you i need emergency assistance,emergency
i need assistance,emergency
hey i need emergency assistance,emergency
play music,play_music
play music right now,play_music
play some music,play_music
play music some,play_music
i want to play some music,play_music
some music,play_music
i want to listen to music,play_music
i want to music to listen,play_music
just i want to listen to music,play_music
i music to listen to want,play_music
play a song,play_music
play a,play_music
song a play,play_music
could you play a song,play_music
put on some music,play_music
put on music,play_music
on some music,play_music
put some music,play_music
start music,play_music
please start music,play_music
can you start music,play_music
play relaxing music,play_music
just play relaxing music,play_music
play relaxing,play_music
can you play music,play_music
hey can you play music,play_music
can play you music,play_music
you play music,play_music
music please,play_music
music please quickly,play_music
music please right now,play_music
i want to hear music,play_music
just i want to hear music,play_music
i want to hear music right now,play_music
hey i want to hear music,play_music
do i have internet,check_internet
hey do i have internet,check_internet
do i have internet right now,check_internet
please do i have internet,check_internet
is internet working,check_internet
is internet working please,check_internet
internet is working,check_internet
i want to is internet working,check_internet
check my internet,check_internet
my check internet,check_internet
check my,check_internet
check my internet quickly,check_internet
am i connected,check_internet
could you am i connected,check_internet
am connected i,check_internet
connected i am,check_internet
is wifi on,check_internet
wifi is on,check_internet
can you is wifi on,check_internet
is wifi on for me,check_internet
do we have internet connection,check_internet
do we have connection,check_internet
hey do we have internet connection,check_internet
do we have internet,check_internet
is the internet available,check_internet
is the internet available for me,check_internet
is the available,check_internet
the is internet available,check_internet
check connection,check_internet
check connection please,check_internet
i want to check connection,check_internet
am i online,check_internet
am online,check_internet
am i online right now,check_internet
hey am i online,check_internet
internet status,check_internet
internet status please,check_internet
set a reminder,set_reminder
set a,set_reminder
can you set a reminder,set_reminder
remind me,set_reminder
remind me now,set_reminder
could you remind me,set_reminder
create a reminder,set_reminder
create reminder a,set_reminder
please create a reminder,set_reminder
i need a reminder,set_reminder
a need i reminder,set_reminder
i want to i need a reminder,set_reminder
please i need a reminder,set_reminder
set reminder please,set_reminder
set reminder please now,set_reminder
reminder set please,set_reminder
add a reminder,set_reminder
add reminder,set_reminder
add a reminder for me,set_reminder
a add reminder,set_reminder
remind me later,set_reminder
remind me later quickly,set_reminder
me remind later,set_reminder
can you remind me,set_reminder
can remind you me,set_reminder
can you remind me for me,set_reminder
can me remind you,set_reminder
put a reminder,set_reminder
a put reminder,set_reminder
put a reminder now,set_reminder
put reminder a,set_reminder
schedule a reminder,set_reminder
schedule a,set_reminder
schedule reminder,set_reminder
schedule a reminder for me,set_reminder
stop,stop_action
could you stop,stop_action
cancel,stop_action
stop that,stop_action
can you stop that,stop_action
stop that now,stop_action
cancel that,stop_action
never mind,stop_action
stop please,stop_action
hey stop please,stop_action
could you stop please,stop_action
i didn't mean that,stop_action
i didn't that mean,stop_action
i didn't mean that right now,stop_action
i mean that,stop_action
abort,stop_action
hey abort,stop_action
cancel the action,stop_action
cancel the,stop_action
cancel action the,stop_action
cancel action,stop_action
stop what you are doing,stop_action
stop what are doing,stop_action
stop what you are doing right now,stop_action
stop what you are doing quickly,stop_action
hello,greeting
can you hello,greeting
hello now,greeting
hi,greeting
hi quickly,greeting
hey,greeting
hey quickly,greeting
hey hey,greeting
i want to hey,greeting
good morning,greeting
good morning please,greeting
good evening,greeting
good evening for me,greeting
how are you,greeting
please how are you,greeting
are you,greeting
how you,greeting
what's up,greeting
please what's up,greeting
good afternoon,greeting
could you good afternoon,greeting
hi there,greeting
can you hi there,greeting
just hi there,greeting
hi there right now,greeting
hello care assistant,greeting
could you hello care assistant,greeting
just hello care assistant,greeting
thank you,thanks
please thank you,thanks
could you thank you,thanks
thanks,thanks
thanks now,thanks
thank you so much,thanks
you so much,thanks
thank you so,thanks
thank you so much for me,thanks
i appreciate it,thanks
i appreciate it quickly,thanks
i it appreciate,thanks
i appreciate it now,thanks
that was helpful,thanks
that was,thanks
was that helpful,thanks
you're great,thanks
could you you're great,thanks
please you're great,thanks
well done,thanks
well done quickly,thanks
just well done,thanks
good job,thanks
thanks a lot,thanks
thanks a lot right now,thanks
a thanks lot,thanks
thanks a lot now,thanks
you did well,thanks
did you well,thanks
you well did,thanks
can you you did well,thanks
